

    first_name;last_name;birth_date;phone_no
Stefan;Testowy;1988.11.11;600700800
Maria;Ziółko;1999.1.1;555666777;
Stefan;Testowy;1988.11.11;600700801
Maria;Ziółko;1999.1.1;555666778;
;;;
Jolanta;Magia;2000.02.04;666000111

 marian;kowalewski;1950.10.01;670540120
Zygmunt;	Stefanowicz;1991.06.01;-
Ernest;Gąbka;1991.06.01;
Elżbieta;Żółw;1988.03.03;670540120
Jolanta;Magia;2000.02.04;666000112

 marian;kowalewski;1950.10.01;670540121
 marian;kowalewski;1950.10.01;670540124
Andrzej;Testowy;1988.10.11;600700807
